#,单词,音标,解释,笔记
1,ability,英:/əˈbɪləti/ 美:/əˈbɪləti/,n. 能力，能耐；才能,
2,able,英:/'eɪb(ə)l/ 美:/'ebl/,adj. 能干的；有能力的；能,
3,about,英:/əˈbaʊt/ 美:/əˈbaʊt/,prep. 关于；大约 adj. 四处走动的,
4,above,英:/ə'bʌv/ 美:/ə'bʌv/,prep. 在……上面；在……之上；超过 adv. 在上面；在上文,
5,abroad,英:/ə'brɔːd/ 美:/ə'brɔd/,adv. 到海外；在国外 adj. 往国外的,
6,absence,英:/ˈæbsəns/ 美:/ˈæbsəns/,n. 缺席；缺乏；没有；不注意,
7,accept,英:/ək'sept/ 美:/ək'sɛpt/,vt. 接受；承认；承担；承兑；容纳 vi. 同意；承认；承兑,
8,acceptable,英:/əkˈseptəbl/ 美:/əkˈseptəbl/,adj. 合意的；受欢迎的；可接受的,
9,absent,英:/ˈæbsənt/ 美:/ˈæbsənt/,adj. 缺席的；缺少的；心不在焉的；茫然的 vt. 使缺席,
10,accident,英:/ˈæksɪdənt/ 美:/ˈæksɪdənt/,n. 事故；机遇；意外事件；意外,
11,according,英:/ə'kɔːdɪŋ/ 美:/ə'kɔrdɪŋ/,adj. 依照，根据，符合，配合（后接to）,
12,account,英:/əˈkaʊnt/ 美:/əˈkaʊnt/,n. 账目，账单；理由；帐户；解释 vi. 报帐；解释；导致,
13,achieve,英:/ə'tʃiːv/ 美:/ə'tʃiv/,vt. 完成；达到 vi. 达到目的；如愿以偿,
14,achievement,英:/əˈtʃiːvmənt/ 美:/əˈtʃiːvmənt/,n.完成，达到;成就，成绩,
15,acid,英:/ˈæsɪd/ 美:/ˈæsɪd/,n. 酸，迷幻药 adj. 酸的，讽刺的，刻薄的,
16,across,英:/ə'krɒs/ 美:/ə'krɔs/,prep. 穿过；横穿 adv. 在对面；横过,
17,act,英:/ækt/ 美:/ækt/,n. 行为；行动；法案；(戏剧、歌剧等的)一幕；假装 v. 行动；举止；假装；表演；扮演；充当；有效果,
18,action,英:/'ækʃ(ə)n/ 美:/'ækʃən/,n. 行动；活动；功能；情节；战斗,
19,active,英:/'æktɪv/ 美:/'æktɪv/,adj. 主动的；有效的；积极的；活跃的；现役的 n. 主动语态；积极分子,
20,activity,英:/æk'tɪvɪtɪ/ 美:/æk'tɪvəti/,n. 活动；活跃；行动,
21,actor,英:/'æktə/ 美:/'æktɚ/,n. 行动者；男演员；作用物,
22,actress,英:/'æktrɪs/ 美:/'æktrəs/,n. 女演员,
23,actual,英:/ˈæktʃuəl/ 美:/ˈæktʃuəl/,adj. 真实的，实际的；现行的，目前的,
24,actually,英:/ˈæktʃuəli/ 美:/ˈæktʃuəli/,adv. 实际上；事实上,
25,add,英:/æd/ 美:/æd/,vi. 加；增加；加起来；做加法 vt. 增加，添加；补充说；计算…总和,
26,addition,英:/əˈdɪʃn/ 美:/əˈdɪʃn/,n. 添加；增加物；加法,
27,address,"英:/əˈdres/ 美:/əˈdres , ˈædres/",v. 写（收信人）姓名地址；演讲；称呼（某人）；设法解决 n. 地址；网址；演讲,
28,admire,英:/ədˈmaɪə(r)/ 美:/ədˈmaɪər/,v. 欣赏，赞赏；钦佩，仰慕,
29,admit,英:/ədˈmɪt/ 美:/ədˈmɪt/,vt. 承认；准许进入；可容纳 vi. 承认；容许,
30,adult,英:/ˈædʌlt，əˈdʌlt/ 美:/ˈædʌlt，əˈdʌlt/,"adj. 成熟的；成年人的, 适宜于成年人的 n. 成年的人或动物",
31,advance,英:/ədˈvɑːns/ 美:/ədˈvæns/,n. 前进；预付款；发展；增长 vt. 预付；提出；使……前进；将……提前,
32,advantage,英:/ədˈvɑːntɪdʒ/ 美:/ədˈvæntɪdʒ/,"n. 有利条件, 有利因素, 优势 益处, 利益",
33,advertise,英:/ˈædvətaɪz/ 美:/ˈædvərtaɪz/,"vt. 公布, 宣传 vt. & vi. (给…)做广告宣传",
34,advertisement,英:/ədˈvɜːtɪsmənt/ 美:/ˌædvərˈtaɪzmənt/,n. 广告,
35,advice,英:/əd'vaɪs/ 美:/əd'vaɪs/,n. 劝告；忠告；建议,
36,advise,英:/ədˈvaɪz/ 美:/ədˈvaɪz/,vt. 劝告，忠告；通知；警告；建议 vi. 建议；与…商量,
37,affair,英:/əˈfeə(r)/ 美:/əˈfer/,n. 事情；事务；私事；（尤指关系不长久的）风流韵事,
38,afford,英:/əˈfɔːd/ 美:/əˈfɔːrd/,vt. 给予，提供；买得起,
